"Proben_ID_intern","sample_ID","date","depth","year","ARK_cruise_ID","cruise","station","latitude","longitude","Date_char","depth_water_ctd","pressure_dbar","temp_deg_c","conductivity_ms_cm","salinity","temp_pot_deg_c","sigma_theta_kg_m3","O2_mumol_l","O2_sat","attenuation_arbit","flurom_arbit","N_Obs"
"20150724048-71510","170509_0034_PS93-48-15m_S18",2015-07-24,15,2015,"ARK-XXIX/2.2","PS93",48,78.00599,5.0696667,"2015-07-24",14.8,15,6.7439,35.0629,35.0084,6.7425,27.461,316.6751,104.2559,4.2865,0.0478,20
"20150724048-73010","170509_0034_PS93-48-30m_S8",2015-07-24,30,2015,"ARK-XXIX/2.2","PS93",48,78.59907,5.0696667,"2015-07-24",29.7,30,6.2001,34.5931,35.0342,6.1975,27.5542,316.5635,102.9156,4.31,0.0463,18
"20150724048-75010","170509_0034_PS93-48-50m_S81",2015-07-24,50,2015,"ARK-XXIX/2.2","PS93",48,78.59907,5.0696667,"2015-07-24",49.5,50,5.0423,33.5774,35.0703,5.0384,27.7266,312.7897,98.9448,4.4756,0.031,19
"20150726050-71510","170509_0034_PS93-50-15m_S59",2015-07-26,15,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",14.8,15,6.8357,34.9485,34.788,6.8343,27.2747,329.6087,108.5907,3.8861,0.089,14
"20150726050-73010","170509_0034_PS93-50-30m_S49",2015-07-26,30,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",29.7,30,6.0241,34.4403,35.0437,6.0215,27.5845,317.5237,102.806,4.3923,0.0416,26
"20150726050-70510","170509_0034_PS93-50-5m_S70",2015-07-26,50,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",49.5,50,4.7038,33.2623,35.0606,4.7001,27.7579,316.6751,99.3513,4.4942,0.0292,17
"20150730058-81010","170509_0034_PS93-58-10m_S39",2015-07-30,10,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",9.9,10,-0.3067,26.7498,32.2921,-0.307,25.9338,388.2562,105.2141,4.2368,0.0538,20
"20150730058-82010","170509_0034_PS93-58-20m_S29",2015-07-30,20,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",19.8,20,-1.5931,26.7582,33.7101,-1.5935,27.1268,370.3966,97.8805,4.0593,0.1413,18
"20150730058-83010","170509_0034_PS93-58-30m_S19",2015-07-30,30,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",29.7,30,-1.6446,26.8436,33.8809,-1.6452,27.267,348.2944,92.0184,4.5286,0.0324,19
"20150804064-41510","170509_0034_PS93-64-15m_S9",2015-08-04,15,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",14.8,15,6.8589,34.806,34.607,6.8575,27.1288,334.5168,110.1377,4.1767,0.0388,16
"20150804064-42710","170509_0034_PS93-64-27m_S82",2015-08-04,27,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",26.7,27,5.1913,33.3906,34.7105,5.1892,27.4236,333.3556,105.5789,4.0204,0.1148,23
"20150804064-44010","170509_0034_PS93-64-40m_S71",2015-08-04,40,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",39.6,40,4.2681,32.6363,34.7909,4.2653,27.5917,315.6256,97.8024,4.4569,0.0337,15
"20150808074-21510","170509_0034_PS93-74-15m_S60",2015-08-08,15,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",14.8,15,7.2448,35.2569,34.7144,7.2434,27.1597,339.7777,112.9554,4.1787,0.0477,19
"20150808074-22710","170509_0034_PS93-74-27m_S50",2015-08-08,27,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",26.7,27,6.4389,34.6571,34.8621,6.4365,27.3868,351.0723,114.6487,3.5782,0.17,24
"20150808074-24010","170509_0034_PS93-74-40m_S40",2015-08-08,40,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",39.6,40,5.842,34.3041,35.0731,5.8386,27.6311,291.9826,94.1476,4.5219,0.0323,19
"20150810080-71010","170509_0034_PS93-80-10m_S30",2015-08-10,10,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",9.9,10,6.0892,34.1246,34.6307,6.0884,27.2496,333.5745,107.8776,4.1587,0.0528,18
"20150810080-71810","170509_0034_PS93-80-18m_S20",2015-08-10,18,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",17.8,18,1.523,29.7096,34.1638,1.5221,27.3374,360.558,103.8422,4.0267,0.0996,20
"20150810080-73210","170509_0034_PS93-80-32m_S10",2015-08-10,32,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",31.7,32,1.1175,29.5234,34.3619,1.1161,27.5247,335.6512,95.787,4.4314,0.0491,25
"20150812086-21510","170509_0034_PS93-86-15m_S83",2015-08-12,15,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",14.8,15,5.3203,33.093,34.2412,5.3191,27.0364,353.3187,111.903,4.257,0.0437,17
"20150812086-22510","170509_0034_PS93-86-25m_S72",2015-08-12,25,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",24.7,25,5.315,33.4113,34.6071,5.313,27.327,335.0125,106.347,4.2239,0.0671,17
"20150812086-25010","170509_0034_PS93-86-50m_S61",2015-08-12,50,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",49.5,50,4.7774,33.2051,34.9161,4.7736,27.6349,309.7796,97.2687,4.489,0.0343,12
"140615-418-25-10","170620_0037_418-25m_S58",2014-06-15,25,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",24.7,25,-1.5802,25.5862,32.073,-1.5806,25.7967,393.4769,102.8464,4.1282,0.1238,21
"140615-418-50-10","170620_0037_418-50m_S59",2014-06-15,50,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",49.5,50,-1.7048,25.563,32.1606,-1.7056,25.8705,376.1488,98.0396,4.5639,0.0312,22
"140615-418-05-10","170620_0037_418-5m_S57",2014-06-15,5,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",4.9,5,0.0392,26.39,31.4584,0.0391,25.2462,387.2111,105.3049,4.4112,0.0293,20
"140615-424-20-10","170620_0037_424-20m_S61",2014-06-15,20,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",19.8,20,-1.5773,25.3168,31.7021,-1.5776,25.4954,383.424,99.9702,4.455,0.0425,22
"140615-424-45-10","170620_0037_424-45m_S62",2014-06-15,45,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",44.5,45,-1.7137,25.4498,32.0168,-1.7144,25.7538,372.1339,96.873,4.6204,0.0231,26
"140615-424-05-10","170620_0037_424-5m_S60",2014-06-15,5,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",4.9,5,-0.4344,26.0291,31.4714,-0.4345,25.2756,381.7313,102.5134,4.4085,0.0272,17
"140616-426-25-10","170620_0037_426-25m_S64",2014-06-16,25,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",24.7,25,-1.6143,25.4656,31.9436,-1.6147,25.6923,375.4209,97.9472,4.5506,0.0277,23
"140616-426-40-10","170620_0037_426-40m_S65",2014-06-16,40,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",39.6,40,-1.6957,25.4974,32.0662,-1.6963,25.7936,372.7011,97.102,4.6203,0.0235,22
"140616-426-05-10","170620_0037_426-5m_S63",2014-06-16,5,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",4.9,5,-1.1108,25.6724,31.7012,-1.1109,25.4833,375.2021,99.085,4.5498,0.0237,14
"140616-429-15-10","170620_0037_429-15m_S67",2014-06-16,15,2014,"ARK-XXVIII/2","PS85",429,78.82956667,-8.56655,"2014-06-16",14.8,15,-1.5515,25.1829,31.4937,-1.5517,25.3257,378.2434,98.5476,4.5757,0.0263,23
"140616-429-30-10","170620_0037_429-30m_S68",2014-06-16,30,2014,"ARK-XXVIII/2","PS85",429,78.82956667,-8.56655,"2014-06-16",29.7,30,-1.5951,25.4944,31.9596,-1.5956,25.7049,370.0215,96.6003,4.6048,0.0246,22
"140616-429-05-10","170620_0037_429-5m_S66",2014-06-16,5,2014,"ARK-XXVIII/2","PS85",429,78.82956667,-8.56655,"2014-06-16",4.9,5,-1.1765,25.2333,31.1744,-1.1766,25.0581,380.2799,99.8828,4.5143,0.0266,17
"140617-432-15-10","170620_0037_432-15m_S70",2014-06-17,15,2014,"ARK-XXVIII/2","PS85",432,79.7333333,-7.0159833333,"2014-06-17",14.8,15,-1.317,25.1371,31.1844,-1.3173,25.0696,377.9442,98.8949,4.5342,0.0287,21
"140617-432-30-10","170620_0037_432-30m_S71",2014-06-17,30,2014,"ARK-XXVIII/2","PS85",432,79.7333333,-7.0159833333,"2014-06-17",29.7,30,-1.6026,25.4333,31.8835,-1.6031,25.6433,378.038,98.6208,4.5383,0.0368,24
"140617-437-25-10","170620_0037_437-25m_S73",2014-06-17,25,2014,"ARK-XXVIII/2","PS85",437,78.82826666,-5.49216666,"2014-06-17",24.7,25,-1.6388,25.4393,31.9337,-1.6392,25.6848,379.1947,98.8583,4.5333,0.031,26
"140617-437-30-10","170620_0037_437-30m_S74",2014-06-17,30,2014,"ARK-XXVIII/2","PS85",437,78.82826666,-5.49216666,"2014-06-17",29.7,30,-1.6564,25.5043,32.0393,-1.6569,25.771,373.8489,97.4885,4.5918,0.0244,23
"140617-437-05-10","170620_0037_437-5m_S72",2014-06-17,5,2014,"ARK-XXVIII/2","PS85",437,78.82826666,-5.49216666,"2014-06-17",4.9,5,-1.339,25.1295,31.2029,-1.3391,25.0851,379.3376,99.2122,4.5117,0.0285,20
"140618-444-25-10","170620_0037_444-25m_S76",2014-06-18,25,2014,"ARK-XXVIII/2","PS85",444,78.84016667,-3.975833333,"2014-06-18",24.7,25,-1.6538,25.5995,32.171,-1.6542,25.8779,368.4941,96.1866,4.6054,0.0249,27
"140618-444-30-10","170620_0037_444-30m_S77",2014-06-18,30,2014,"ARK-XXVIII/2","PS85",444,78.84016667,-3.975833333,"2014-06-18",29.7,30,-1.6902,25.9615,32.7084,-1.6907,26.3153,366.0334,95.8038,4.6123,0.0236,26
"140618-444-05-10","170620_0037_444-5m_S75",2014-06-18,5,2014,"ARK-XXVIII/2","PS85",444,78.84016667,-3.975833333,"2014-06-18",4.9,5,-1.5689,25.1464,31.468,-1.569,25.3052,370.8164,96.5491,4.5912,0.0239,18
"140621-455-25-10","170620_0037_455-25m_S79",2014-06-21,25,2014,"ARK-XXVIII/2","PS85",455,78.4534,-2.8302,"2014-06-21",24.7,25,-1.7498,26.9781,34.1922,-1.7503,27.5229,351.2598,92.7333,4.5832,0.0281,32
"140621-455-30-10","170620_0037_455-30m_S80",2014-06-21,30,2014,"ARK-XXVIII/2","PS85",455,78.4534,-2.8302,"2014-06-21",29.7,30,-1.7857,26.9582,34.2027,-1.7863,27.5324,351.7779,92.7851,4.5878,0.0282,22
"140621-455-05-10","170620_0037_455-5m_S78",2014-06-21,5,2014,"ARK-XXVIII/2","PS85",455,78.4534,-2.8302,"2014-06-21",4.9,5,-1.6428,26.7872,33.8164,-1.6429,27.2145,356.8155,94.2323,4.5262,0.0252,16
"140622-460-100-10","170620_0037_460-100m_S83",2014-06-22,100,2014,"ARK-XXVIII/2","PS85",460,79.06531667,-4.1843,"2014-06-22",99.9,101,2.6055,31.4099,35.0647,2.5996,27.9731,323.4009,96.3321,4.306,0.0542,30
"140622-460-50-10","170620_0037_460-50m_S82",2014-06-22,50,2014,"ARK-XXVIII/2","PS85",460,79.06531667,-4.1843,"2014-06-22",49.5,50,2.6567,31.2307,34.8164,2.6538,27.7698,351.7064,104.7245,4.2863,0.0725,29
"140622-460-05-10","170620_0037_460-5m_S81",2014-06-22,5,2014,"ARK-XXVIII/2","PS85",460,79.06531667,-4.1843,"2014-06-22",4.9,5,1.7279,29.7828,34.0417,1.7277,27.2245,365.2518,105.6636,4.2141,0.0331,16
"140624-470-23-10","170620_0037_470-23m_S85",2014-06-24,23,2014,"ARK-XXVIII/2","PS85",470,79.13518333,6.088166667,"2014-06-24",22.8,23,2.3328,30.5866,34.3849,2.3315,27.4521,357.1817,105.1816,4.3142,0.0465,21
"140624-470-30-10","170620_0037_470-30m_S86",2014-06-24,30,2014,"ARK-XXVIII/2","PS85",470,79.13518333,6.088166667,"2014-06-24",29.7,30,3.0698,31.5117,34.7253,3.068,27.6595,346.4857,104.1829,4.4186,0.0361,24
"140624-470-05-10","170620_0037_470-5m_S84",2014-06-24,5,2014,"ARK-XXVIII/2","PS85",470,79.13518333,6.088166667,"2014-06-24",4.9,5,1.9292,29.9849,34.0789,1.9289,27.2392,358.4814,104.2683,4.2703,0.0366,19
"140625-473-40-10","170620_0037_473-40m_S88",2014-06-25,40,2014,"ARK-XXVIII/2","PS85",473,79.75945,4.384,"2014-06-25",39.6,40,0.3363,28.8871,34.3976,0.3348,27.6017,343.4533,96.051,4.4668,0.0303,20
"140625-473-55-10","170620_0037_473-55m_S89",2014-06-25,55,2014,"ARK-XXVIII/2","PS85",473,79.75945,4.384,"2014-06-25",55.4,56,2.2755,30.8643,34.7742,2.2724,27.7686,332.2391,97.9501,4.4789,0.0267,29
"140625-473-05-10","170620_0037_473-5m_S87",2014-06-25,5,2014,"ARK-XXVIII/2","PS85",473,79.75945,4.384,"2014-06-25",4.9,5,-1.3649,26.6425,33.3029,-1.365,26.7896,382.6156,101.4579,4.374,0.025,15
"140628-482-30-10","170620_0037_482-30m_S91",2014-06-28,30,2014,"ARK-XXVIII/2","PS85",482,78.83953,-0.9436167,"2014-06-28",29.7,30,-1.422,26.9841,33.8222,-1.4226,27.2129,368.7532,97.98,4.3474,0.0825,24
"140628-482-50-10","170620_0037_482-50m_S92",2014-06-28,50,2014,"ARK-XXVIII/2","PS85",482,78.83953,-0.9436167,"2014-06-28",49.5,50,-0.2562,28.3332,34.3229,-0.2578,27.5725,339.8537,93.513,4.4717,0.0441,27
"140628-482-5-10","170620_0037_482-5m_S90",2014-06-28,5,2014,"ARK-XXVIII/2","PS85",482,78.83953,-0.9436167,"2014-06-28",4.9,5,-1.4655,26.752,33.5667,-1.4656,27.0067,382.2047,101.2545,4.2326,0.0742,21
"140628-486-15-10","170620_0037_486-15m_S94",2014-06-28,15,2014,"ARK-XXVIII/2","PS85",486,78.83333,1.0065167,"2014-06-28",14.8,15,-1.4804,26.6479,33.4334,-1.4807,26.8989,388.667,102.8298,4.3275,0.0542,22
"140628-486-05-10","170620_0037_486-5m_S93",2014-06-28,5,2014,"ARK-XXVIII/2","PS85",486,78.83333,1.0065167,"2014-06-28",4.9,5,-1.448,26.6484,33.404,-1.4481,26.8741,387.9123,102.7004,4.3232,0.0479,17
"140628-486-60-10","170620_0037_486-60m_S95",2014-06-28,60,2014,"ARK-XXVIII/2","PS85",486,78.83333,1.0065167,"2014-06-28",60.3,61,0.2076,28.5901,34.1375,0.2054,27.3991,357.0835,99.3474,4.3955,0.0395,24
"090712-106-50-10","170901_0038_2009-106-50m_S3",2009-07-12,50,2009,"ARK-XXIV/2","PS74",106,79.05595,3.576666666,"2009-07-12",49.5,50,4.6528,33.1112,34.9377,4.6502,27.6661,319.42,100.01,81.46,4.21,24
"090713-109-40-10","170901_0038_2009-109-40m_S4",2009-07-13,40,2009,"ARK-XXIV/2","PS74",109,79.1338333,6.101666666,"2009-07-13",39.6,40,3.4155,31.8705,34.7839,3.4138,27.6735,329.61,100.01,84.48,2.06,22
"090715-116-20-10 (20m, vertippt im Illumi  Sample Sheet)","170901_0038_2009-116-15m_S2",2009-07-15,20,2009,"ARK-XXIV/2","PS74",116,NA,NA,"2009-07-15",19.8,20,6.1738,34.5068,34.9693,6.1736,27.5063,307.93,100,84.43,0.83,19
"090718-129-30-10","170901_0038_2009-129-30m_S1",2009-07-18,30,2009,"ARK-XXIV/2","PS74",129,78.6075,5.0705,"2009-07-18",29.7,30,6.6614,35.0423,35.0624,6.6603,27.515,304.22,100,78.2,4.97,15
"100705-124-15-10","170901_0038_2010-124-15m_S5",2010-07-05,15,2010,"ARK-XXV/2","PS76",124,78.60783333,5.0635,"2010-07-05",14.8,15,4.9498,33.2194,34.7706,4.9487,27.4994,367.5965,115.7938,NA,0.061,50
"100706-132-15-10","170901_0038_2010-132-15m_S8",2010-07-06,15,2010,"ARK-XXV/2","PS76",132,79.13666667,5.0985,"2010-07-06",14.8,15,5.7955,34.1813,34.9949,5.7943,27.5749,350.9829,112.9891,NA,0.087,65
"100712-170-30-10","170901_0038_2010-170-30m_S9",2010-07-12,30,2010,"ARK-XXV/2","PS76",170,79.155,2.726666667,"2010-07-12",29.7,30,5.7921,34.2609,35.0811,5.7896,27.6436,NA,NA,NA,0.14,35
"100712-173-15-10","170901_0038_2010-173-15m_S7",2010-07-12,15,2010,"ARK-XXV/2","PS76",173,79.00266667,4.2995,"2010-07-12",14.8,15,-1.5689,27.0687,34.1164,-1.5692,27.4562,NA,NA,NA,0.051,58
"100714-179-20-10","170901_0038_2010-179-20m_S6",2010-07-14,20,2010,"ARK-XXV/2","PS76",179,79.73333333,4.301166667,"2010-07-14",19.8,20,5.885,34.3987,35.1463,5.8833,27.6833,352.6532,113.881,NA,0.183,52
"PS78_140_28_10","170901_0038_2011-140-28m_S13",2011-07-14,28,2011,"ARK-XXVI/2","PS78",140,79.134333,6.09595,"2011-07-14",27.7,28,4.8018,33.2307,34.9321,4.7997,27.6445,478.8476,150.46,87.59,1.57,20
"PS78_145_35_10","170901_0038_2011-145-35m_S14",2011-07-17,35,2011,"ARK-XXVI/2","PS78",145,79.144783,2.758683,"2011-07-17",34.6,35,-0.7724,27.9125,34.3507,-0.7734,27.6182,466.8162,126.7,97.85,0.65,19
"PS78_162_15_10","170901_0038_2011-162-15m_S11",2011-07-23,15,2011,"ARK-XXVI/2","PS78",162,79.72425,4.46015,"2011-07-23",14.8,15,2.2435,29.686,33.3652,2.2427,26.6433,522.9489,152.6,89.75,1.11,16
"PS78_174_20/30_10","170901_0038_2011-174-20-30m_S10",2011-07-28,30,2011,"ARK-XXVI/2","PS78",174,78.600083,5.050883,"2011-07-28",29.7,30,6.2958,34.7833,35.1492,6.2932,27.6323,452.822,147.66,88.12,1.58,20
"PS78_177_20_10","170901_0038_2011-177-20m_S12",2011-07-29,20,2011,"ARK-XXVI/2","PS78",177,78.997267,4.329083,"2011-07-29",19.8,20,2.038,30.1735,34.1895,2.037,27.3194,545.9578,159.36,76.22,4.72,20
"120716-165-20-10","170901_0038_2012-165-20m_S18",2012-07-16,20,2012,"ARK-XXVII/2","PS80",165,79.00988333,4.319883333,"2012-07-16",19.8,20,5.0171,33.4874,35.0085,5.0156,27.6802,347.3476,109.7651,4.026,0.113,23
"120717-168-20-10","170901_0038_2012-168-20m_S19",2012-07-17,20,2012,"ARK-XXVII/2","PS80",168,79.00988333,4.319883333,"2012-07-17",19.8,20,5.8748,34.2867,35.0298,5.8731,27.5925,343.4041,110.7829,3.874,0.129,19
"120720-176-20-10","170901_0038_2012-176-20m_S15",2012-07-20,20,2012,"ARK-XXVII/2","PS80",176,79.61041667,5.069833333,"2012-07-20",19.8,20,6.0658,34.4723,35.042,6.0641,27.5777,350.6301,113.6358,3.778,0.139,20
"120722-184-20-10","170901_0038_2012-184-20m_S20",2012-07-22,20,2012,"ARK-XXVII/2","PS80",184,79.13333333,2.842666667,"2012-07-22",19.8,20,6.0429,34.4507,35.0413,6.0412,27.5801,NA,NA,3.843,0.142,20
"120723-185-15-10","170901_0038_2012-185-15m_S16",2012-07-23,15,2012,"ARK-XXVII/2","PS80",185,79.73965,4.505316667,"2012-07-23",14.8,15,5.4598,33.828,34.9405,5.4586,27.5734,347.5575,110.9553,4.298,0.042,17
"120723-185-40-10","170901_0038_2012-185-40m_S17",2012-07-23,40,2012,"ARK-XXVII/2","PS80",185,79.73965,4.505316667,"2012-07-23",39.6,40,5.0584,33.5428,35.0186,5.0553,27.6836,340.7469,107.7936,4.305,0.068,19
"260613-425-12-10","170901_0038_2013-425-12m_S24",2013-06-26,12,2013,"ANT-XXIX/6","PS81",425,79.13383333,6.092333333,"2013-06-26",12.9,13,4.4071,32.947,35.0251,4.4062,27.7626,468.854,146,NA,2.41,11
"280613-423-28-10 (Station 423, Tippfehler im Illumi  Sample Sheet)","170901_0038_2013-432-28m_S22",2013-06-28,28,2013,"ANT-XXIX/6","PS81",423,NA,NA,"2013-06-28",27.7,28,-0.2247,28.3572,34.333,-0.2256,27.5791,522.726,143.96,NA,3.54,22
"010713-439-25-10","170901_0038_2013-439-25m_S21",2013-07-01,25,2013,"ANT-XXIX/6","PS81",439,78.62,5.016666667,"2013-07-01",24.7,25,4.9964,33.407,34.9342,4.9945,27.6238,466.569,147.29,NA,4.06,20
"090713-452-30-10","170901_0038_2013-452-30m_S23",2013-07-09,30,2013,"ANT-XXIX/6","PS81",452,79.00766667,4.474666667,"2013-07-09",29.7,30,2.9591,31.5062,34.8383,2.9573,27.7599,473.825,142.18,NA,1.15,21
