"Proben_ID_intern","sample_ID","date","depth","year","ARK_cruise_ID","cruise","station","latitude","longitude","Date_char","depth_water_nut","NO3_mumol_l","NO2_mumol_l","SiOH4_mumol_l","PO4_mumol_l"
"20150724048-71510","170509_0034_PS93-48-15m_S18",2015-07-24,15,2015,"ARK-XXIX/2.2","PS93",48,78.00599,5.0696667,"2015-07-24",14.7,1.23,0.07,3.06,0.22
"20150724048-73010","170509_0034_PS93-48-30m_S8",2015-07-24,30,2015,"ARK-XXIX/2.2","PS93",48,78.59907,5.0696667,"2015-07-24",29.7,4.07,0.17,4.47,0.47
"20150724048-75010","170509_0034_PS93-48-50m_S81",2015-07-24,50,2015,"ARK-XXIX/2.2","PS93",48,78.59907,5.0696667,"2015-07-24",49.9,7.94,0.21,5.06,0.62
"20150726050-71510","170509_0034_PS93-50-15m_S59",2015-07-26,15,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",499.5,12.55,0.03,6.41,0.8
"20150726050-73010","170509_0034_PS93-50-30m_S49",2015-07-26,30,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",999.9,13.66,0.02,8.97,0.89
"20150726050-70510","170509_0034_PS93-50-5m_S70",2015-07-26,50,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",1499.6,14.61,0.02,10.84,0.93
"20150730058-81010","170509_0034_PS93-58-10m_S39",2015-07-30,10,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",14.7,1.23,0.07,3.06,0.22
"20150730058-82010","170509_0034_PS93-58-20m_S29",2015-07-30,20,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",29.7,4.07,0.17,4.47,0.47
"20150730058-83010","170509_0034_PS93-58-30m_S19",2015-07-30,30,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",49.9,7.94,0.21,5.06,0.62
"20150804064-41510","170509_0034_PS93-64-15m_S9",2015-08-04,15,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",14.7,1.23,0.07,3.06,0.22
"20150804064-42710","170509_0034_PS93-64-27m_S82",2015-08-04,27,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",29.7,4.07,0.17,4.47,0.47
"20150804064-44010","170509_0034_PS93-64-40m_S71",2015-08-04,40,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",49.9,7.94,0.21,5.06,0.62
"20150808074-21510","170509_0034_PS93-74-15m_S60",2015-08-08,15,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",499.5,12.55,0.03,6.41,0.8
"20150808074-22710","170509_0034_PS93-74-27m_S50",2015-08-08,27,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",999.9,13.66,0.02,8.97,0.89
"20150808074-24010","170509_0034_PS93-74-40m_S40",2015-08-08,40,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",1499.6,14.61,0.02,10.84,0.93
"20150810080-71010","170509_0034_PS93-80-10m_S30",2015-08-10,10,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",499.5,12.55,0.03,6.41,0.8
"20150810080-71810","170509_0034_PS93-80-18m_S20",2015-08-10,18,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",999.9,13.66,0.02,8.97,0.89
"20150810080-73210","170509_0034_PS93-80-32m_S10",2015-08-10,32,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",1499.6,14.61,0.02,10.84,0.93
"20150812086-21510","170509_0034_PS93-86-15m_S83",2015-08-12,15,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",499.5,12.55,0.03,6.41,0.8
"20150812086-22510","170509_0034_PS93-86-25m_S72",2015-08-12,25,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",999.9,13.66,0.02,8.97,0.89
"20150812086-25010","170509_0034_PS93-86-50m_S61",2015-08-12,50,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",1499.6,14.61,0.02,10.84,0.93
"140615-418-25-10","170620_0037_418-25m_S58",2014-06-15,25,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",9.9,1.11,0.01,5.54,0.45
"140615-418-50-10","170620_0037_418-50m_S59",2014-06-15,50,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",49.9,2.67,0.03,6.42,0.56
"140615-418-05-10","170620_0037_418-5m_S57",2014-06-15,5,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",200.5,9.8,0.06,7.49,0.66
"140615-424-20-10","170620_0037_424-20m_S61",2014-06-15,20,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",5.2,0.59,0.01,5.53,0.45
"140615-424-45-10","170620_0037_424-45m_S62",2014-06-15,45,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",50.4,2.7,0.06,6.02,0.53
"140615-424-05-10","170620_0037_424-5m_S60",2014-06-15,5,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",200.5,9.8,0.06,7.49,0.66
"140616-426-25-10","170620_0037_426-25m_S64",2014-06-16,25,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",441.4,13.8,0.03,9.72,0.88
"140616-426-40-10","170620_0037_426-40m_S65",2014-06-16,40,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",21.6,1.58,0,6.3,0.51
"140616-426-05-10","170620_0037_426-5m_S63",2014-06-16,5,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",150,9.08,0.03,8.52,0.71
"140616-429-15-10","170620_0037_429-15m_S67",2014-06-16,15,2014,"ARK-XXVIII/2","PS85",429,78.82956667,-8.56655,"2014-06-16",320.3,12.74,0.06,9.17,0.83
"140616-429-30-10","170620_0037_429-30m_S68",2014-06-16,30,2014,"ARK-XXVIII/2","PS85",429,78.82956667,-8.56655,"2014-06-16",5.5,0.66,0.03,5.53,0.45
"140616-429-05-10","170620_0037_429-5m_S66",2014-06-16,5,2014,"ARK-XXVIII/2","PS85",429,78.82956667,-8.56655,"2014-06-16",150,9.08,0.03,8.52,0.71
"140617-432-15-10","170620_0037_432-15m_S70",2014-06-17,15,2014,"ARK-XXVIII/2","PS85",432,79.7333333,-7.0159833333,"2014-06-17",6.9,0.81,0.06,5.87,0.48
"140617-432-30-10","170620_0037_432-30m_S71",2014-06-17,30,2014,"ARK-XXVIII/2","PS85",432,79.7333333,-7.0159833333,"2014-06-17",25.4,2.34,0.03,6.25,0.57
"140617-437-25-10","170620_0037_437-25m_S73",2014-06-17,25,2014,"ARK-XXVIII/2","PS85",437,78.82826666,-5.49216666,"2014-06-17",10.4,1.48,0.05,5.4,0.46
"140617-437-30-10","170620_0037_437-30m_S74",2014-06-17,30,2014,"ARK-XXVIII/2","PS85",437,78.82826666,-5.49216666,"2014-06-17",25.4,2.34,0.03,6.25,0.57
"140617-437-05-10","170620_0037_437-5m_S72",2014-06-17,5,2014,"ARK-XXVIII/2","PS85",437,78.82826666,-5.49216666,"2014-06-17",320.8,11.03,0,9.12,0.78
"140618-444-25-10","170620_0037_444-25m_S76",2014-06-18,25,2014,"ARK-XXVIII/2","PS85",444,78.84016667,-3.975833333,"2014-06-18",6.9,0.81,0.06,5.87,0.48
"140618-444-30-10","170620_0037_444-30m_S77",2014-06-18,30,2014,"ARK-XXVIII/2","PS85",444,78.84016667,-3.975833333,"2014-06-18",5.3,1.43,0,6.54,0.54
"140618-444-05-10","170620_0037_444-5m_S75",2014-06-18,5,2014,"ARK-XXVIII/2","PS85",444,78.84016667,-3.975833333,"2014-06-18",4.7,4.61,0.04,7.99,0.53
"140621-455-25-10","170620_0037_455-25m_S79",2014-06-21,25,2014,"ARK-XXVIII/2","PS85",455,78.4534,-2.8302,"2014-06-21",6.9,0.81,0.06,5.87,0.48
"140621-455-30-10","170620_0037_455-30m_S80",2014-06-21,30,2014,"ARK-XXVIII/2","PS85",455,78.4534,-2.8302,"2014-06-21",16.7,1.3,0.04,6.13,0.48
"140621-455-05-10","170620_0037_455-5m_S78",2014-06-21,5,2014,"ARK-XXVIII/2","PS85",455,78.4534,-2.8302,"2014-06-21",4.7,4.61,0.04,7.99,0.53
"140622-460-100-10","170620_0037_460-100m_S83",2014-06-22,100,2014,"ARK-XXVIII/2","PS85",460,79.06531667,-4.1843,"2014-06-22",150.3,8.96,0.05,6.25,0.53
"140622-460-50-10","170620_0037_460-50m_S82",2014-06-22,50,2014,"ARK-XXVIII/2","PS85",460,79.06531667,-4.1843,"2014-06-22",50.9,2.73,0,6.22,0.52
"140622-460-05-10","170620_0037_460-5m_S81",2014-06-22,5,2014,"ARK-XXVIII/2","PS85",460,79.06531667,-4.1843,"2014-06-22",21.6,1.58,0,6.3,0.51
"140624-470-23-10","170620_0037_470-23m_S85",2014-06-24,23,2014,"ARK-XXVIII/2","PS85",470,79.13518333,6.088166667,"2014-06-24",49.9,2.67,0.03,6.42,0.56
"140624-470-30-10","170620_0037_470-30m_S86",2014-06-24,30,2014,"ARK-XXVIII/2","PS85",470,79.13518333,6.088166667,"2014-06-24",75.3,5.15,0,8.64,0.68
"140624-470-05-10","170620_0037_470-5m_S84",2014-06-24,5,2014,"ARK-XXVIII/2","PS85",470,79.13518333,6.088166667,"2014-06-24",364.8,13.1,0.03,9.92,0.85
"140625-473-40-10","170620_0037_473-40m_S88",2014-06-25,40,2014,"ARK-XXVIII/2","PS85",473,79.75945,4.384,"2014-06-25",76.2,3.61,0.05,7.09,0.56
"140625-473-55-10","170620_0037_473-55m_S89",2014-06-25,55,2014,"ARK-XXVIII/2","PS85",473,79.75945,4.384,"2014-06-25",100.6,5.46,0.01,7.9,0.6
"140625-473-05-10","170620_0037_473-5m_S87",2014-06-25,5,2014,"ARK-XXVIII/2","PS85",473,79.75945,4.384,"2014-06-25",30.9,2,0.03,6.09,0.56
"140628-482-30-10","170620_0037_482-30m_S91",2014-06-28,30,2014,"ARK-XXVIII/2","PS85",482,78.83953,-0.9436167,"2014-06-28",6.9,0.81,0.06,5.87,0.48
"140628-482-50-10","170620_0037_482-50m_S92",2014-06-28,50,2014,"ARK-XXVIII/2","PS85",482,78.83953,-0.9436167,"2014-06-28",16.7,1.3,0.04,6.13,0.48
"140628-482-5-10","170620_0037_482-5m_S90",2014-06-28,5,2014,"ARK-XXVIII/2","PS85",482,78.83953,-0.9436167,"2014-06-28",150.3,8.96,0.05,6.25,0.53
"140628-486-15-10","170620_0037_486-15m_S94",2014-06-28,15,2014,"ARK-XXVIII/2","PS85",486,78.83333,1.0065167,"2014-06-28",320.8,11.03,0,9.12,0.78
"140628-486-05-10","170620_0037_486-5m_S93",2014-06-28,5,2014,"ARK-XXVIII/2","PS85",486,78.83333,1.0065167,"2014-06-28",150.3,8.96,0.05,6.25,0.53
"140628-486-60-10","170620_0037_486-60m_S95",2014-06-28,60,2014,"ARK-XXVIII/2","PS85",486,78.83333,1.0065167,"2014-06-28",16.7,1.3,0.04,6.13,0.48
"090712-106-50-10","170901_0038_2009-106-50m_S3",2009-07-12,50,2009,"ARK-XXIV/2","PS74",106,79.05595,3.576666666,"2009-07-12",NA,NA,NA,NA,NA
"090713-109-40-10","170901_0038_2009-109-40m_S4",2009-07-13,40,2009,"ARK-XXIV/2","PS74",109,79.1338333,6.101666666,"2009-07-13",NA,NA,NA,NA,NA
"090715-116-20-10 (20m, vertippt im Illumi  Sample Sheet)","170901_0038_2009-116-15m_S2",2009-07-15,20,2009,"ARK-XXIV/2","PS74",116,NA,NA,"2009-07-15",10,4,0.07,3.67,0.38
"090718-129-30-10","170901_0038_2009-129-30m_S1",2009-07-18,30,2009,"ARK-XXIV/2","PS74",129,78.6075,5.0705,"2009-07-18",20,7.31,0.12,4.22,0.54
"100705-124-15-10","170901_0038_2010-124-15m_S5",2010-07-05,15,2010,"ARK-XXV/2","PS76",124,78.60783333,5.0635,"2010-07-05",NA,NA,NA,NA,NA
"100706-132-15-10","170901_0038_2010-132-15m_S8",2010-07-06,15,2010,"ARK-XXV/2","PS76",132,79.13666667,5.0985,"2010-07-06",15,1.74,0.04,3.18,0.25
"100712-170-30-10","170901_0038_2010-170-30m_S9",2010-07-12,30,2010,"ARK-XXV/2","PS76",170,79.155,2.726666667,"2010-07-12",50,10.94,0.18,4.59,0.64
"100712-173-15-10","170901_0038_2010-173-15m_S7",2010-07-12,15,2010,"ARK-XXV/2","PS76",173,79.00266667,4.2995,"2010-07-12",25,9.55,0.18,4.42,0.66
"100714-179-20-10","170901_0038_2010-179-20m_S6",2010-07-14,20,2010,"ARK-XXV/2","PS76",179,79.73333333,4.301166667,"2010-07-14",25,9.55,0.18,4.42,0.66
"PS78_140_28_10","170901_0038_2011-140-28m_S13",2011-07-14,28,2011,"ARK-XXVI/2","PS78",140,79.134333,6.09595,"2011-07-14",NA,NA,NA,NA,NA
"PS78_145_35_10","170901_0038_2011-145-35m_S14",2011-07-17,35,2011,"ARK-XXVI/2","PS78",145,79.144783,2.758683,"2011-07-17",35,6.12,0.05,3.34,0.44
"PS78_162_15_10","170901_0038_2011-162-15m_S11",2011-07-23,15,2011,"ARK-XXVI/2","PS78",162,79.72425,4.46015,"2011-07-23",10,1.86,0.02,3.04,0.18
"PS78_174_20/30_10","170901_0038_2011-174-20-30m_S10",2011-07-28,30,2011,"ARK-XXVI/2","PS78",174,78.600083,5.050883,"2011-07-28",18,6.46,0.03,4.17,0.52
"PS78_177_20_10","170901_0038_2011-177-20m_S12",2011-07-29,20,2011,"ARK-XXVI/2","PS78",177,78.997267,4.329083,"2011-07-29",3,0.48,0.01,2.19,0.07
"120716-165-20-10","170901_0038_2012-165-20m_S18",2012-07-16,20,2012,"ARK-XXVII/2","PS80",165,79.00988333,4.319883333,"2012-07-16",20,3.24,0.1,3.72,0.39
"120717-168-20-10","170901_0038_2012-168-20m_S19",2012-07-17,20,2012,"ARK-XXVII/2","PS80",168,79.00988333,4.319883333,"2012-07-17",30,5.26,0.13,4.08,0.57
"120720-176-20-10","170901_0038_2012-176-20m_S15",2012-07-20,20,2012,"ARK-XXVII/2","PS80",176,79.61041667,5.069833333,"2012-07-20",30,5.26,0.13,4.08,0.57
"120722-184-20-10","170901_0038_2012-184-20m_S20",2012-07-22,20,2012,"ARK-XXVII/2","PS80",184,79.13333333,2.842666667,"2012-07-22",20,3.24,0.1,3.72,0.39
"120723-185-15-10","170901_0038_2012-185-15m_S16",2012-07-23,15,2012,"ARK-XXVII/2","PS80",185,79.73965,4.505316667,"2012-07-23",20,3.24,0.1,3.72,0.39
"120723-185-40-10","170901_0038_2012-185-40m_S17",2012-07-23,40,2012,"ARK-XXVII/2","PS80",185,79.73965,4.505316667,"2012-07-23",50,10.04,0.33,4.39,0.78
"260613-425-12-10","170901_0038_2013-425-12m_S24",2013-06-26,12,2013,NA,"MSM29",425,79.13383333,6.092333333,"2013-06-26",12,4.1,0.09,4.32,0.49
"280613-423-28-10 (Station 423, Tippfehler im Illumi  Sample Sheet)","170901_0038_2013-432-28m_S22",2013-06-28,28,2013,NA,"MSM29",423,NA,NA,"2013-06-28",1,1.64,0.06,3.47,0.28
